session_id,customer_id,action,timestamp
6668f4,CUST00001,checkout,2025-07-23 02:27:03.480044
6668f4,CUST00001,search,2025-07-29 11:34:03.480044
6668f4,CUST00001,checkout,2025-07-23 11:50:03.480044
b4d29b,CUST00001,checkout,2025-07-25 01:00:03.480044
b4d29b,CUST00001,checkout,2025-07-25 03:09:03.480044
b4d29b,CUST00001,view_product,2025-07-24 04:21:03.480044
25cf6d,CUST00001,view_product,2025-07-27 20:43:03.480044
25cf6d,CUST00001,logout,2025-07-26 17:08:03.480044
25cf6d,CUST00001,open_app,2025-07-28 03:48:03.480044
19c70d,CUST00002,logout,2025-07-23 10:42:03.480044
19c70d,CUST00002,open_app,2025-07-25 22:45:03.480044
19c70d,CUST00002,logout,2025-07-28 15:22:03.480044
145e3c,CUST00002,view_product,2025-07-26 15:29:03.480044
145e3c,CUST00002,view_product,2025-07-27 06:33:03.480044
145e3c,CUST00002,checkout,2025-07-23 15:38:03.480044
2e7179,CUST00005,add_to_cart,2025-07-26 05:44:03.480044
2e7179,CUST00005,logout,2025-07-26 09:44:03.480044
2e7179,CUST00005,checkout,2025-07-24 12:43:03.480044
d6f2e8,CUST00010,view_product,2025-07-26 13:11:03.481408
d6f2e8,CUST00010,add_to_cart,2025-07-23 01:35:03.481408
d6f2e8,CUST00010,logout,2025-07-27 16:55:03.481408
8022ef,CUST00010,search,2025-07-29 11:34:03.481408
8022ef,CUST00010,open_app,2025-07-29 01:43:03.481408
8022ef,CUST00010,logout,2025-07-26 22:46:03.481408
62aa08,CUST00010,checkout,2025-07-23 07:46:03.481408
62aa08,CUST00010,open_app,2025-07-27 18:12:03.481408
62aa08,CUST00010,add_to_cart,2025-07-28 04:47:03.481408
a05065,CUST00010,add_to_cart,2025-07-25 01:35:03.481408
a05065,CUST00010,view_product,2025-07-25 18:42:03.481408
a05065,CUST00010,logout,2025-07-25 07:43:03.481408
3042d3,CUST00013,add_to_cart,2025-07-23 13:14:03.481408
3042d3,CUST00013,logout,2025-07-27 03:18:03.481408
3042d3,CUST00013,logout,2025-07-23 10:17:03.481408
d14a80,CUST00013,add_to_cart,2025-07-26 17:30:03.481408
d14a80,CUST00013,search,2025-07-25 03:46:03.481408
d14a80,CUST00013,logout,2025-07-27 11:44:03.481408
738098,CUST00014,logout,2025-07-25 22:27:03.481408
738098,CUST00014,view_product,2025-07-24 20:21:03.481408
738098,CUST00014,view_product,2025-07-27 18:02:03.481408
9b4161,CUST00015,view_product,2025-07-28 00:08:03.481408
9b4161,CUST00015,search,2025-07-26 15:39:03.481408
9b4161,CUST00015,logout,2025-07-28 23:04:03.481408
e98482,CUST00017,logout,2025-07-24 21:37:03.482432
e98482,CUST00017,open_app,2025-07-24 18:40:03.482432
e98482,CUST00017,checkout,2025-07-26 14:27:03.482432
bd0db5,CUST00020,search,2025-07-26 06:00:03.482432
bd0db5,CUST00020,open_app,2025-07-23 09:59:03.482432
bd0db5,CUST00020,open_app,2025-07-26 11:19:03.482432
d6a105,CUST00020,view_product,2025-07-25 01:50:03.482432
d6a105,CUST00020,add_to_cart,2025-07-25 01:25:03.482432
d6a105,CUST00020,search,2025-07-23 16:10:03.482432
9a193a,CUST00020,open_app,2025-07-23 13:58:03.482432
9a193a,CUST00020,logout,2025-07-23 21:24:03.482432
9a193a,CUST00020,logout,2025-07-23 22:44:03.482432
d1187b,CUST00020,search,2025-07-29 06:22:03.482432
d1187b,CUST00020,add_to_cart,2025-07-26 17:37:03.482432
d1187b,CUST00020,search,2025-07-29 08:14:03.482432
eb5148,CUST00021,checkout,2025-07-22 19:52:03.482432
eb5148,CUST00021,search,2025-07-22 23:52:03.482432
eb5148,CUST00021,add_to_cart,2025-07-28 08:33:03.482432
ee5ada,CUST00021,checkout,2025-07-23 23:12:03.482432
ee5ada,CUST00021,open_app,2025-07-28 10:16:03.482432
ee5ada,CUST00021,view_product,2025-07-23 01:47:03.482432
cc2f99,CUST00023,checkout,2025-07-28 03:04:03.482432
cc2f99,CUST00023,add_to_cart,2025-07-24 22:47:03.482432
cc2f99,CUST00023,checkout,2025-07-27 18:07:03.482432
305933,CUST00024,view_product,2025-07-29 05:13:03.482432
305933,CUST00024,view_product,2025-07-24 22:18:03.482432
305933,CUST00024,checkout,2025-07-27 01:39:03.482432
49c720,CUST00024,view_product,2025-07-26 02:03:03.482432
49c720,CUST00024,add_to_cart,2025-07-29 16:14:03.482432
49c720,CUST00024,add_to_cart,2025-07-23 05:41:03.482432
71e36d,CUST00026,add_to_cart,2025-07-27 23:59:03.482432
71e36d,CUST00026,logout,2025-07-29 12:50:03.482432
71e36d,CUST00026,view_product,2025-07-24 04:13:03.482432
dede1b,CUST00026,open_app,2025-07-27 02:33:03.482432
dede1b,CUST00026,logout,2025-07-25 02:59:03.482432
dede1b,CUST00026,checkout,2025-07-25 01:34:03.482432
8c1cd2,CUST00030,search,2025-07-26 08:31:03.482432
8c1cd2,CUST00030,checkout,2025-07-23 08:05:03.482432
8c1cd2,CUST00030,add_to_cart,2025-07-26 13:00:03.482432
7add7c,CUST00033,view_product,2025-07-23 06:23:03.483430
7add7c,CUST00033,search,2025-07-26 19:45:03.483430
7add7c,CUST00033,logout,2025-07-23 11:05:03.483430
e1c481,CUST00033,add_to_cart,2025-07-23 00:34:03.483430
e1c481,CUST00033,logout,2025-07-23 13:16:03.483430
e1c481,CUST00033,view_product,2025-07-23 08:11:03.483430
dab524,CUST00033,add_to_cart,2025-07-29 02:34:03.483430
dab524,CUST00033,logout,2025-07-28 12:45:03.483430
dab524,CUST00033,view_product,2025-07-23 22:45:03.483430
d54ef0,CUST00034,search,2025-07-27 09:19:03.483430
d54ef0,CUST00034,view_product,2025-07-27 19:57:03.483430
d54ef0,CUST00034,logout,2025-07-25 10:54:03.483430
514575,CUST00035,search,2025-07-23 07:14:03.483430
514575,CUST00035,logout,2025-07-25 10:06:03.483430
514575,CUST00035,search,2025-07-26 06:00:03.483430
d0ebd7,CUST00036,search,2025-07-24 04:03:03.483430
d0ebd7,CUST00036,checkout,2025-07-27 12:47:03.483430
d0ebd7,CUST00036,search,2025-07-26 10:13:03.483430
e42376,CUST00036,view_product,2025-07-25 01:00:03.483430
e42376,CUST00036,logout,2025-07-25 11:38:03.483430
e42376,CUST00036,logout,2025-07-22 22:59:03.483430
d0ddc7,CUST00038,checkout,2025-07-24 21:27:03.483430
d0ddc7,CUST00038,logout,2025-07-25 16:59:03.483430
d0ddc7,CUST00038,add_to_cart,2025-07-28 16:59:03.483430
09dd31,CUST00038,open_app,2025-07-26 07:31:03.483430
09dd31,CUST00038,search,2025-07-23 17:10:03.483430
09dd31,CUST00038,logout,2025-07-24 07:53:03.483430
26f61c,CUST00039,logout,2025-07-28 11:05:03.483430
26f61c,CUST00039,view_product,2025-07-29 01:01:03.483430
26f61c,CUST00039,logout,2025-07-23 08:14:03.483430
5d86c0,CUST00042,checkout,2025-07-28 17:23:03.483430
5d86c0,CUST00042,view_product,2025-07-28 16:49:03.483430
5d86c0,CUST00042,add_to_cart,2025-07-28 06:26:03.483430
331038,CUST00044,search,2025-07-24 14:20:03.483430
331038,CUST00044,search,2025-07-29 06:43:03.483430
331038,CUST00044,search,2025-07-27 16:05:03.483430
5b85d7,CUST00044,logout,2025-07-27 12:59:03.483430
5b85d7,CUST00044,open_app,2025-07-28 11:23:03.483430
5b85d7,CUST00044,search,2025-07-27 02:37:03.483430
1139ba,CUST00046,add_to_cart,2025-07-24 14:32:03.483430
1139ba,CUST00046,open_app,2025-07-25 01:48:03.483430
1139ba,CUST00046,search,2025-07-28 22:37:03.483430
dc1932,CUST00046,add_to_cart,2025-07-27 08:42:03.483430
dc1932,CUST00046,logout,2025-07-22 20:02:03.483430
dc1932,CUST00046,add_to_cart,2025-07-23 10:21:03.483430
e7b017,CUST00047,search,2025-07-25 12:56:03.483430
e7b017,CUST00047,view_product,2025-07-25 17:29:03.483430
e7b017,CUST00047,logout,2025-07-25 23:28:03.483430
e1aa4e,CUST00048,add_to_cart,2025-07-27 23:46:03.483430
e1aa4e,CUST00048,search,2025-07-23 16:42:03.483430
e1aa4e,CUST00048,logout,2025-07-23 13:25:03.483430
f1a755,CUST00052,open_app,2025-07-27 12:52:03.484424
f1a755,CUST00052,add_to_cart,2025-07-27 03:43:03.484424
f1a755,CUST00052,search,2025-07-23 04:52:03.484424
e52722,CUST00054,search,2025-07-23 17:33:03.484424
e52722,CUST00054,logout,2025-07-22 22:55:03.484424
e52722,CUST00054,view_product,2025-07-23 11:50:03.484424
149615,CUST00056,view_product,2025-07-29 14:36:03.484424
149615,CUST00056,search,2025-07-25 15:42:03.484424
149615,CUST00056,checkout,2025-07-24 14:24:03.484424
d82a39,CUST00060,checkout,2025-07-24 21:38:03.484424
d82a39,CUST00060,open_app,2025-07-24 13:26:03.484424
d82a39,CUST00060,add_to_cart,2025-07-29 01:28:03.484424
879206,CUST00060,logout,2025-07-24 16:51:03.484424
879206,CUST00060,add_to_cart,2025-07-26 13:58:03.484424
879206,CUST00060,checkout,2025-07-24 00:27:03.484424
0146c6,CUST00062,logout,2025-07-28 15:30:03.484424
0146c6,CUST00062,view_product,2025-07-26 09:50:03.484424
0146c6,CUST00062,logout,2025-07-29 00:15:03.484424
b62af3,CUST00064,logout,2025-07-23 03:02:03.485429
b62af3,CUST00064,view_product,2025-07-23 01:57:03.485429
b62af3,CUST00064,view_product,2025-07-25 09:42:03.485429
66457e,CUST00065,search,2025-07-23 22:26:03.485429
66457e,CUST00065,search,2025-07-28 01:41:03.485429
66457e,CUST00065,view_product,2025-07-25 13:17:03.485429
106dd5,CUST00065,logout,2025-07-28 04:20:03.485429
106dd5,CUST00065,search,2025-07-24 23:21:03.485429
106dd5,CUST00065,checkout,2025-07-27 22:05:03.485429
18ed8d,CUST00066,checkout,2025-07-25 20:11:03.485429
18ed8d,CUST00066,view_product,2025-07-24 11:44:03.485429
18ed8d,CUST00066,checkout,2025-07-24 10:48:03.485429
45031c,CUST00067,search,2025-07-23 01:10:03.485429
45031c,CUST00067,search,2025-07-28 18:27:03.485429
45031c,CUST00067,checkout,2025-07-23 07:39:03.485429
0cc395,CUST00072,search,2025-07-28 12:37:03.485429
0cc395,CUST00072,add_to_cart,2025-07-26 01:16:03.485429
0cc395,CUST00072,checkout,2025-07-26 14:55:03.485429
5cbd47,CUST00073,checkout,2025-07-23 14:32:03.485429
5cbd47,CUST00073,checkout,2025-07-24 07:08:03.485429
5cbd47,CUST00073,checkout,2025-07-28 02:47:03.485429
40e481,CUST00073,logout,2025-07-26 09:39:03.485429
40e481,CUST00073,logout,2025-07-23 10:40:03.485429
40e481,CUST00073,view_product,2025-07-27 18:21:03.485429
6c165e,CUST00074,checkout,2025-07-25 10:56:03.485429
6c165e,CUST00074,view_product,2025-07-27 21:25:03.485429
6c165e,CUST00074,view_product,2025-07-25 20:29:03.485429
23d823,CUST00074,checkout,2025-07-25 06:13:03.485429
23d823,CUST00074,search,2025-07-23 14:11:03.485429
23d823,CUST00074,add_to_cart,2025-07-27 05:37:03.485429
a422c1,CUST00075,logout,2025-07-28 00:05:03.485429
a422c1,CUST00075,checkout,2025-07-28 13:04:03.485429
a422c1,CUST00075,checkout,2025-07-26 20:40:03.485429
353c52,CUST00076,checkout,2025-07-23 12:20:03.485429
353c52,CUST00076,open_app,2025-07-28 23:18:03.485429
353c52,CUST00076,checkout,2025-07-26 00:48:03.485429
98af3a,CUST00077,logout,2025-07-23 18:39:03.485429
98af3a,CUST00077,search,2025-07-24 12:07:03.486851
98af3a,CUST00077,search,2025-07-27 09:37:03.486851
