customer_id,txn_id,amount,type,date
CUST00001,35f75aae,3632.56,debit,2024-12-25
CUST00001,1a2a34ee,8305.29,credit,2025-05-10
CUST00001,60f96549,6670.93,credit,2024-11-15
CUST00001,dd27d9de,5317.79,debit,2025-04-06
CUST00001,1ec6e2c1,9835.83,debit,2024-09-25
CUST00001,c3519741,3334.53,debit,2025-06-26
CUST00001,9a3de750,3496.94,debit,2025-05-16
CUST00001,7dc1e29c,2954.37,debit,2025-06-09
CUST00001,35aac981,9848.83,credit,2025-05-07
CUST00001,4febd916,3878.01,debit,2024-08-29
CUST00002,100c9dda,7139.94,debit,2024-10-25
CUST00002,d56ee13b,2845.92,debit,2025-01-31
CUST00002,4dddf1dd,1404.47,credit,2025-07-26
CUST00002,ba4b72a2,4721.37,debit,2025-02-01
CUST00002,e1adf42b,7113.95,credit,2024-08-04
CUST00003,b9840ad0,6370.7,credit,2025-07-26
CUST00003,493b2511,2682.05,debit,2024-08-12
CUST00003,4e1c1414,8997.41,credit,2025-03-24
CUST00003,b7a53afe,1747.74,credit,2025-04-11
CUST00003,e63ce08b,5829.68,debit,2025-05-25
CUST00003,7beb9221,9242.35,credit,2025-07-27
CUST00004,302b8198,4761.13,credit,2024-08-27
CUST00004,73e6067f,6525.6,credit,2025-04-28
CUST00004,354c2039,2245.22,credit,2024-08-02
CUST00004,477e4964,4691.16,credit,2025-05-25
CUST00004,71e4d25f,3157.84,credit,2025-04-26
CUST00004,7123b5e4,1255.69,debit,2024-08-07
CUST00004,0a6fc026,4663.18,debit,2024-09-17
CUST00004,f7c9f51f,5366.86,credit,2025-07-23
CUST00004,82bc1fbf,7361.8,credit,2025-06-10
CUST00004,fe1bfeaa,1539.34,debit,2024-09-04
CUST00005,0021dcc1,9795.33,credit,2025-02-25
CUST00005,4fdfb8f8,3211.07,debit,2024-08-14
CUST00005,3ee54b38,8304.65,credit,2024-10-14
CUST00005,5b6054c3,8287.1,debit,2024-11-05
CUST00005,72b7d535,9005.78,credit,2025-05-18
CUST00005,e85bbda8,9570.2,debit,2025-01-30
CUST00005,4c84e77d,9806.8,debit,2025-01-29
CUST00005,b9d49db5,350.38,credit,2024-09-20
CUST00006,42df6bd2,9031.09,debit,2025-02-15
CUST00006,5bc09eb6,5026.81,credit,2025-03-22
CUST00006,733fc704,4875.82,debit,2025-02-03
CUST00006,42beba18,9118.37,debit,2025-01-19
CUST00006,e5206329,6593.3,debit,2025-01-12
CUST00006,18f72a22,6621.29,debit,2025-04-14
CUST00006,2358bf07,5066.0,credit,2025-07-13
CUST00006,4f67608e,4140.64,credit,2025-05-30
CUST00007,8ab020d9,2048.46,debit,2025-07-01
CUST00007,988c9dfb,1788.79,credit,2025-04-25
CUST00007,83e91bb5,6484.59,debit,2025-02-09
CUST00007,9b4deae6,4554.61,debit,2025-04-04
CUST00007,bc0d6651,6709.86,debit,2024-11-20
CUST00007,b00f953a,414.81,debit,2025-01-09
CUST00007,b8937651,6439.44,credit,2024-11-24
CUST00007,088226e0,8674.82,debit,2024-10-07
CUST00008,3667a7dc,9960.33,debit,2025-04-15
CUST00008,a7188438,1235.78,debit,2025-06-26
CUST00008,f202776f,7741.28,credit,2024-11-14
CUST00008,b434faa6,2697.55,credit,2024-11-30
CUST00008,0654e200,7501.83,credit,2024-12-14
CUST00008,2ed95d53,7749.81,credit,2025-07-09
CUST00009,e6e3f4cb,3715.11,debit,2024-09-17
CUST00009,25f32ab6,7480.99,credit,2024-10-24
CUST00009,795c0c9f,5743.31,debit,2025-05-23
CUST00009,f2be03f7,8761.29,debit,2024-11-13
CUST00009,667a8828,5007.86,debit,2024-07-30
CUST00009,bc8ac1aa,8025.85,debit,2024-11-25
CUST00009,e20670df,2205.13,debit,2025-06-30
CUST00009,dab388d9,8086.98,debit,2025-04-30
CUST00009,9c2ce42a,2423.39,credit,2024-11-09
CUST00009,58da3e4b,7042.61,debit,2025-05-31
CUST00009,e9025eb3,3643.59,debit,2025-06-14
CUST00009,6f1f0f22,5250.74,debit,2024-10-27
CUST00009,1bc7b89f,4918.57,debit,2025-04-04
CUST00010,9886077a,8900.17,debit,2025-03-30
CUST00010,94751d13,9761.61,credit,2025-03-07
CUST00010,73874d00,1460.93,credit,2025-04-03
CUST00010,3ecbfa73,3332.8,credit,2025-05-28
CUST00010,3004252e,9760.12,credit,2025-02-20
CUST00011,79bbc2f2,6803.97,debit,2024-09-21
CUST00011,8e74f2c4,8182.54,credit,2024-08-21
CUST00011,88c335f7,7532.87,credit,2025-07-25
CUST00011,e10fc8a6,7846.73,credit,2025-05-07
CUST00011,358d5c15,5052.49,debit,2025-01-14
CUST00011,7cae598b,3610.87,debit,2025-05-25
CUST00011,def6a3cd,3942.15,debit,2024-11-11
CUST00011,4abe258e,3624.35,credit,2025-05-24
CUST00011,05f3a97c,8742.12,debit,2025-04-26
CUST00011,2dbdc54e,6504.49,debit,2025-03-18
CUST00011,ded6adfa,6847.97,credit,2024-11-25
CUST00011,7f5d6e69,3422.6,credit,2024-09-23
CUST00011,6fe37fd1,8206.49,debit,2025-05-20
CUST00011,5ae62965,5758.21,credit,2024-10-15
CUST00012,939def75,8557.16,debit,2025-01-08
CUST00012,b6625795,3943.27,credit,2024-08-14
CUST00012,766ee5a5,3870.14,debit,2024-12-28
CUST00012,f05ed734,3109.99,credit,2025-01-06
CUST00012,a7c88fb7,7148.53,credit,2025-03-04
CUST00012,04d7d486,9111.11,credit,2025-04-29
CUST00013,ba45cf17,4657.46,debit,2024-08-27
CUST00013,c2839d6c,2421.73,debit,2024-09-30
CUST00013,dd0d4e65,9007.81,debit,2025-06-21
CUST00013,85ae93e6,2606.67,debit,2025-05-15
CUST00013,4ff019b7,4239.35,debit,2025-06-13
CUST00013,f0b9b66f,1420.05,debit,2025-03-18
CUST00013,d1ac9941,6443.26,credit,2025-04-13
CUST00013,3965fa6d,9623.99,credit,2024-11-08
CUST00014,2dad50ac,2569.67,credit,2024-12-16
CUST00014,677263bd,9951.01,debit,2024-10-09
CUST00014,3a15a7bf,4576.63,debit,2024-10-01
CUST00014,e6654453,215.59,credit,2024-10-29
CUST00014,f699578c,9301.52,debit,2024-08-01
CUST00014,c20a7800,9920.17,debit,2024-09-28
CUST00014,2eaf079f,7716.05,debit,2025-06-01
CUST00014,cba693c1,7986.95,debit,2024-10-21
CUST00014,b93f141c,2072.11,credit,2025-03-14
CUST00014,83eb886c,5355.87,credit,2024-09-04
CUST00014,9fcb97d6,9481.63,credit,2024-08-25
CUST00014,38037df5,8887.45,debit,2025-06-02
CUST00014,ae32c8d2,7158.9,credit,2024-12-10
CUST00015,be188e67,5146.2,credit,2024-08-26
CUST00015,db24fd91,4013.44,credit,2025-05-14
CUST00015,6566e198,4835.86,credit,2024-08-26
CUST00015,1db2c5f7,108.68,credit,2025-05-22
CUST00015,34186d64,8869.72,credit,2024-11-23
CUST00015,d71e79cc,2942.32,debit,2024-12-14
CUST00016,f6f616d3,7781.78,debit,2025-02-03
CUST00016,c9ef24ba,3674.32,debit,2024-11-26
CUST00016,1ab5a6db,6551.32,credit,2025-02-10
CUST00016,3f20f062,1350.37,debit,2024-11-19
CUST00016,1c58e2c7,5588.26,debit,2025-03-12
CUST00016,64473c66,6207.3,credit,2024-08-10
CUST00016,e08d7b4b,7398.08,credit,2025-07-07
CUST00016,931c6610,5908.78,debit,2024-11-27
